"Points:0","Points:1","Points:2","U_new:0","U_new:1","U_new:2","f"
2.9861,-0.077782,1.3803e-18,0.8,-0.8,0,-9.3572e-19
2.979,-0.084853,0.017321,0.8,-0.8,0,-9.3572e-19
2.9649,-0.098995,0.017321,0.8,-0.8,0,-9.3572e-19
3.2962,-0.087681,5.4136e-18,0.8,-0.8,0,5.1438e-19
3.2042,0.0042426,-6.7886e-19,0.8,-0.8,0,5.1438e-19
3.294,-0.089803,0.0051962,0.8,-0.8,0,5.1438e-19
3.2021,0.0021213,0.0051962,0.8,-0.8,0,5.1438e-19
3.2898,-0.094045,0.0051962,0.8,-0.8,0,5.1438e-19
3.1979,-0.0021213,0.0051962,0.8,-0.8,0,5.1438e-19
3.2877,-0.096167,7.5061e-18,0.8,-0.8,0,5.1438e-19
3.1958,-0.0042426,1.4136e-18,0.8,-0.8,0,5.1438e-19
3.2898,-0.094045,-0.0051962,0.8,-0.8,0,5.1438e-19
3.1979,-0.0021213,-0.0051962,0.8,-0.8,0,5.1438e-19
3.294,-0.089803,-0.0051962,0.8,-0.8,0,5.1438e-19
3.2021,0.0021213,-0.0051962,0.8,-0.8,0,5.1438e-19
3.2962,-0.087681,5.4136e-18,0.8,-0.8,0,5.1438e-19
3.294,-0.089803,0.0051962,0.8,-0.8,0,5.1438e-19
3.2898,-0.094045,0.0051962,0.8,-0.8,0,5.1438e-19
3.2877,-0.096167,7.5061e-18,0.8,-0.8,0,5.1438e-19
3.2898,-0.094045,-0.0051962,0.8,-0.8,0,5.1438e-19
3.294,-0.089803,-0.0051962,0.8,-0.8,0,5.1438e-19
3.2021,0.0021213,-0.0051962,0.8,-0.8,0,5.1438e-19
3.1979,-0.0021213,-0.0051962,0.8,-0.8,0,5.1438e-19
3.1958,-0.0042426,1.4136e-18,0.8,-0.8,0,5.1438e-19
3.1979,-0.0021213,0.0051962,0.8,-0.8,0,5.1438e-19
3.2021,0.0021213,0.0051962,0.8,-0.8,0,5.1438e-19
3.2042,0.0042426,-6.7886e-19,0.8,-0.8,0,5.1438e-19
3.3414,-0.14142,9.373e-18,0.8,-0.8,0,5.1438e-19
3.2778,-0.10607,8.3553e-18,0.8,-0.8,0,5.1438e-19
3.2849,-0.098995,-0.017321,0.8,-0.8,0,5.1438e-19
3.299,-0.084853,-0.017321,0.8,-0.8,0,5.1438e-19
3.3061,-0.077782,1.3803e-18,0.8,-0.8,0,5.1438e-19
